Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Amazon_TestSuite_ValidateItemInStock-OutStock(Script)_007,Chrome 121.0.0.0,,,02-02-2024 21:52:37,02-02-2024 21:53:40,1m - 2.924s,PASSED
,,,,,,,
Test Cases/Recording_Modes/TC_Amazon_ValidateItemInStock-OutStock(Script)_007,Chrome 121.0.0.0,,,02-02-2024 21:52:42,02-02-2024 21:53:40,58.058s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 121.0.0.0,,,02-02-2024 21:52:42,02-02-2024 21:52:47,4.785s,PASSED
"setText(findTestObject(""Object Repository/AmazonPages/Amazon_ValidateItemInStock-OutStock(Script)_OR/Page_Amazon.com. Spend less. Smile more/input_field-keywords""), item)",Chrome 121.0.0.0,,,02-02-2024 21:52:47,02-02-2024 21:52:56,9.584s,PASSED
"click(findTestObject(""Object Repository/AmazonPages/Amazon_ValidateItemInStock-OutStock(Script)_OR/Page_Amazon.com. Spend less. Smile more/inputnav-search-submit-button""))",Chrome 121.0.0.0,,,02-02-2024 21:52:56,02-02-2024 21:53:07,10.404s,PASSED
"click(findTestObject(""Object Repository/AmazonPages/Amazon_ValidateItemInStock-OutStock(Script)_OR/Page_Amazon.com  samsung galaxy a54 5g phone/span_SAMSUNG Galaxy A54 5G A Series Cell Ph_6b2531""))",Chrome 121.0.0.0,,,02-02-2024 21:53:07,02-02-2024 21:53:36,29.344s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/AmazonPages/Amazon_ValidateItemInStock-OutStock(Script)_OR/Page_Amazon.com SAMSUNG Galaxy A54 5G A Ser_1bc85d/span_In Stock""), 0)",Chrome 121.0.0.0,,,02-02-2024 21:53:36,02-02-2024 21:53:40,3.358s,PASSED
