Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Amazon_TestSuite_ValidateAddtoList_010,Edge Chromium 121,,,07-02-2024 14:06:53,07-02-2024 14:08:08,1m - 14.321s,PASSED
,,,,,,,
Test Cases/Checkpoints/TC_Amazon_ValidateAddtoList_010,Edge Chromium 121,,,07-02-2024 14:06:57,07-02-2024 14:08:08,1m - 10.223s,PASSED
Start listener action : sampleBeforeTestCase,Edge Chromium 121,,,07-02-2024 14:06:58,07-02-2024 14:07:12,14.425s,PASSED
"setText(findTestObject(""Object Repository/AmazonPages/Amazon_ValidateAddtoList_OR/Page_Amazon.com. Spend less. Smile more/input_field-keywords""), item)",Edge Chromium 121,,,07-02-2024 14:07:12,07-02-2024 14:07:31,18.584s,PASSED
"click(findTestObject(""Object Repository/AmazonPages/Amazon_ValidateAddtoList_OR/Page_Amazon.com. Spend less. Smile more/inputnav-search-submit-button""))",Edge Chromium 121,,,07-02-2024 14:07:31,07-02-2024 14:07:38,7.328s,PASSED
"click(findTestObject(""Object Repository/AmazonPages/Amazon_ValidateAddtoList_OR/Page_Amazon.com  samsung galaxy a54 5g phone/span_SAMSUNG Galaxy A54 5G A Series Cell Ph_6b2531""))",Edge Chromium 121,,,07-02-2024 14:07:38,07-02-2024 14:07:48,9.956s,PASSED
"verifyElementClickable(findTestObject(""Object Repository/AmazonPages/Amazon_ValidateAddtoList_OR/Page_Amazon.com SAMSUNG Galaxy A54 5G A Ser_1bc85d/input_submit.add-to-registry.wishlist""))",Edge Chromium 121,,,07-02-2024 14:07:48,07-02-2024 14:07:54,5.636s,PASSED
"click(findTestObject(""Object Repository/AmazonPages/Amazon_ValidateAddtoList_OR/Page_Amazon.com SAMSUNG Galaxy A54 5G A Ser_1bc85d/input_submit.add-to-registry.wishlist""))",Edge Chromium 121,,,07-02-2024 14:07:54,07-02-2024 14:07:54,0.847s,PASSED
"verifyCheckpoint(findCheckpoint(""Checkpoints/Checkpoint_Amazon_AddtoListPage""), false)",Edge Chromium 121,,,07-02-2024 14:07:54,07-02-2024 14:07:55,0.228s,PASSED
"click(findTestObject(""Object Repository/AmazonPages/Amazon_ValidateAddtoList_OR/Page_Amazon.com SAMSUNG Galaxy A54 5G A Ser_1bc85d/i_a-icon a-icon-close""))",Edge Chromium 121,,,07-02-2024 14:07:55,07-02-2024 14:07:57,2.341s,PASSED
Start listener action : sampleAfterTestCase,Edge Chromium 121,,,07-02-2024 14:07:57,07-02-2024 14:08:08,10.641s,PASSED
