Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Amazon_TestSuite_ValidateCategoryDropdownButton_002,Chrome 121.0.0.0,,,01-02-2024 22:55:09,01-02-2024 22:55:29,19.919s,PASSED
,,,,,,,
Test Cases/Handling_and_Validating_Buttons/TC_Amazon_ValidateCategoryDropdownButton_002,Chrome 121.0.0.0,,,01-02-2024 22:55:12,01-02-2024 22:55:29,17.154s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 121.0.0.0,,,01-02-2024 22:55:12,01-02-2024 22:55:14,2.136s,PASSED
"selectOptionByLabel(findTestObject(""Object Repository/AmazonPages/Amazon_ValidateCategoryDropdownButton_OR/Page_Amazon.com. Spend less. Smile more/select_All Departments        Arts  Crafts _135c92""), ""Books"", true)",Chrome 121.0.0.0,,,01-02-2024 22:55:14,01-02-2024 22:55:26,11.935s,PASSED
"verifyOptionSelectedByLabel(findTestObject(""AmazonPages/Amazon_ValidateCategoryDropdownButton_OR/Page_Amazon.com. Spend less. Smile more/select_All Departments        Arts  Crafts _135c92""), ""Books"", true, 0)",Chrome 121.0.0.0,,,01-02-2024 22:55:26,01-02-2024 22:55:29,2.921s,PASSED
