Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Amazon_TestSuite_ValidateCart_009,Chrome 121.0.0.0,,,07-02-2024 13:28:12,07-02-2024 13:28:49,36.942s,PASSED
,,,,,,,
Test Cases/Checkpoints/TC_Amazon_ValidateCart_009,Chrome 121.0.0.0,,,07-02-2024 13:28:15,07-02-2024 13:28:49,34.124s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 121.0.0.0,,,07-02-2024 13:28:15,07-02-2024 13:28:32,17.312s,PASSED
"verifyElementClickable(findTestObject(""Object Repository/AmazonPages/Amazon_ValidateCart_OR/Page_Amazon.com. Spend less. Smile more/span_Cart""))",Chrome 121.0.0.0,,,07-02-2024 13:28:32,07-02-2024 13:28:38,5.973s,PASSED
"click(findTestObject(""Object Repository/AmazonPages/Amazon_ValidateCart_OR/Page_Amazon.com. Spend less. Smile more/span_Cart""))",Chrome 121.0.0.0,,,07-02-2024 13:28:38,07-02-2024 13:28:44,5.878s,PASSED
"verifyCheckpoint(findCheckpoint(""Checkpoints/Checkpoint_Amazon_CartPage""), false)",Chrome 121.0.0.0,,,07-02-2024 13:28:44,07-02-2024 13:28:44,0.090s,PASSED
Start listener action : sampleAfterTestCase,Chrome 121.0.0.0,,,07-02-2024 13:28:44,07-02-2024 13:28:49,4.687s,PASSED
