Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Amazon_TestSuite_ValidateCart_009,Chrome 121.0.0.0,,,07-02-2024 13:31:48,07-02-2024 13:32:24,35.932s,PASSED
,,,,,,,
Test Cases/Checkpoints/TC_Amazon_ValidateCart_009,Chrome 121.0.0.0,,,07-02-2024 13:31:52,07-02-2024 13:32:24,31.667s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 121.0.0.0,,,07-02-2024 13:31:52,07-02-2024 13:32:11,18.882s,PASSED
"verifyElementClickable(findTestObject(""Object Repository/AmazonPages/Amazon_ValidateCart_OR/Page_Amazon.com. Spend less. Smile more/span_Cart""))",Chrome 121.0.0.0,,,07-02-2024 13:32:11,07-02-2024 13:32:17,5.352s,PASSED
"click(findTestObject(""Object Repository/AmazonPages/Amazon_ValidateCart_OR/Page_Amazon.com. Spend less. Smile more/span_Cart""))",Chrome 121.0.0.0,,,07-02-2024 13:32:17,07-02-2024 13:32:18,1.714s,PASSED
"verifyCheckpoint(findCheckpoint(""Checkpoints/Checkpoint_Amazon_CartPage""), false)",Chrome 121.0.0.0,,,07-02-2024 13:32:18,07-02-2024 13:32:18,0.082s,PASSED
Start listener action : sampleAfterTestCase,Chrome 121.0.0.0,,,07-02-2024 13:32:18,07-02-2024 13:32:24,5.409s,PASSED
