Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Amazon_TestSuite_Login(ValidateInputButton)_001,Edge Chromium 121,,,08-02-2024 23:46:44,08-02-2024 23:47:08,24.196s,PASSED
,,,,,,,
Test Cases/Handling_and_Validating_Buttons/TC_Amazon_Login(ValidateInputButton)_001,Edge Chromium 121,,,08-02-2024 23:46:49,08-02-2024 23:47:08,19.650s,PASSED
Start listener action : sampleBeforeTestCase,Edge Chromium 121,,,08-02-2024 23:46:49,08-02-2024 23:46:52,3.807s,PASSED
"click(findTestObject(""AmazonPages/Amazon_Login_OR/Page_Amazon.com. Spend less. Smile more/span_Hello, sign in""))",Edge Chromium 121,,,08-02-2024 23:46:53,08-02-2024 23:46:55,2.111s,PASSED
"verifyElementClickable(findTestObject(""AmazonPages/Amazon_Login_OR/Page_Amazon Sign-In/input_email""), CONTINUE_ON_FAILURE)",Edge Chromium 121,,,08-02-2024 23:46:55,08-02-2024 23:46:56,1.344s,PASSED
"setText(findTestObject(""AmazonPages/Amazon_Login_OR/Page_Amazon Sign-In/input_email""), ""8688410244"")",Edge Chromium 121,,,08-02-2024 23:46:56,08-02-2024 23:46:57,0.717s,PASSED
"click(findTestObject(""AmazonPages/Amazon_Login_OR/Page_Amazon Sign-In/inputcontinue""))",Edge Chromium 121,,,08-02-2024 23:46:57,08-02-2024 23:46:59,2.456s,PASSED
"verifyElementClickable(findTestObject(""AmazonPages/Amazon_Login_OR/Page_Amazon Sign-In/input_password""), CONTINUE_ON_FAILURE)",Edge Chromium 121,,,08-02-2024 23:46:59,08-02-2024 23:47:01,1.370s,PASSED
"setEncryptedText(findTestObject(""AmazonPages/Amazon_Login_OR/Page_Amazon Sign-In/input_password""), ""trwX9ClwwJzqcxxckJfIhw=="")",Edge Chromium 121,,,08-02-2024 23:47:01,08-02-2024 23:47:01,0.631s,PASSED
"click(findTestObject(""AmazonPages/Amazon_Login_OR/Page_Amazon Sign-In/inputsignInSubmit""))",Edge Chromium 121,,,08-02-2024 23:47:01,08-02-2024 23:47:06,4.931s,PASSED
"waitForElementPresent(findTestObject(""AmazonPages/Amazon_Login_OR/Page_Amazon.com. Spend less. Smile more/span_Hello, Sameena""), 0)",Edge Chromium 121,,,08-02-2024 23:47:06,08-02-2024 23:47:08,1.256s,PASSED
"verifyElementText(findTestObject(""AmazonPages/Amazon_Login_OR/Page_Amazon.com. Spend less. Smile more/span_Hello, Sameena""), ""Hello, Sameena"")",Edge Chromium 121,,,08-02-2024 23:47:08,08-02-2024 23:47:08,0.722s,PASSED
