Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Amazon_TestSuite_ValidateItemPrice(Manual)_006,Chrome 121.0.0.0,,,02-02-2024 21:25:24,02-02-2024 21:26:19,54.332s,PASSED
,,,,,,,
Test Cases/Recording_Modes/TC_Amazon_ValidateItemPrice(Manual)_006,Chrome 121.0.0.0,,,02-02-2024 21:25:29,02-02-2024 21:26:19,49.676s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 121.0.0.0,,,02-02-2024 21:25:29,02-02-2024 21:25:31,2.187s,PASSED
"setText(findTestObject(""Object Repository/AmazonPages/Amazon_ValidateItemPriceElement(Manual)_OR/Page_Amazon.com. Spend less. Smile more/input_field-keywords""), item)",Chrome 121.0.0.0,,,02-02-2024 21:25:32,02-02-2024 21:25:46,14.456s,PASSED
"click(findTestObject(""Object Repository/AmazonPages/Amazon_ValidateItemPriceElement(Manual)_OR/Page_Amazon.com. Spend less. Smile more/inputnav-search-submit-button""))",Chrome 121.0.0.0,,,02-02-2024 21:25:46,02-02-2024 21:26:01,15.177s,PASSED
"click(findTestObject(""Object Repository/AmazonPages/Amazon_ValidateItemPriceElement(Manual)_OR/Page_Amazon.com  samsung galaxy a54 5g phone/span_SAMSUNG Galaxy A54 5G A Series Cell Ph_6b2531""))",Chrome 121.0.0.0,,,02-02-2024 21:26:01,02-02-2024 21:26:13,11.457s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/AmazonPages/Amazon_ValidateItemPriceElement(Manual)_OR/Page_Amazon.com SAMSUNG Galaxy A54 5G A Ser_1bc85d/span_449.99""), 0)",Chrome 121.0.0.0,,,02-02-2024 21:26:13,02-02-2024 21:26:19,5.945s,PASSED
