Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Amazon_TestSuite_ValidateSearchFieldItem_003,Edge Chromium 121,,,01-02-2024 23:05:28,01-02-2024 23:07:35,2m - 7.343s,PASSED
,,,,,,,
Test Cases/Data_Driven_Testing/TC_Amazon_ValidateSearchFieldItem_003,Edge Chromium 121,,,01-02-2024 23:05:33,01-02-2024 23:06:18,44.329s,PASSED
Start listener action : sampleBeforeTestCase,Edge Chromium 121,,,01-02-2024 23:05:33,01-02-2024 23:05:42,8.754s,PASSED
"selectOptionByLabel(findTestObject(""Object Repository/AmazonPages/Amazon_ValidateSearchFieldItem_OR/Page_Amazon.com. Spend less. Smile more/select_All Departments        Arts  Crafts _135c92""), category, true)",Edge Chromium 121,,,01-02-2024 23:05:42,01-02-2024 23:06:03,20.967s,PASSED
"setText(findTestObject(""Object Repository/AmazonPages/Amazon_ValidateSearchFieldItem_OR/Page_Amazon.com. Spend less. Smile more/input_field-keywords""), item)",Edge Chromium 121,,,01-02-2024 23:06:03,01-02-2024 23:06:05,1.420s,PASSED
"click(findTestObject(""Object Repository/AmazonPages/Amazon_ValidateSearchFieldItem_OR/Page_Amazon.com. Spend less. Smile more/inputnav-search-submit-button""))",Edge Chromium 121,,,01-02-2024 23:06:05,01-02-2024 23:06:15,9.820s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/AmazonPages/Amazon_ValidateSearchFieldItem_OR/Page_Amazon.com  Da vinci code/span_Da vinci code""), 0)",Edge Chromium 121,,,01-02-2024 23:06:15,01-02-2024 23:06:18,3.166s,PASSED
,,,,,,,
Test Cases/Data_Driven_Testing/TC_Amazon_ValidateSearchFieldItem_003,Edge Chromium 121,,,01-02-2024 23:06:18,01-02-2024 23:06:48,29.756s,PASSED
Start listener action : sampleBeforeTestCase,Edge Chromium 121,,,01-02-2024 23:06:18,01-02-2024 23:06:26,7.741s,PASSED
"selectOptionByLabel(findTestObject(""Object Repository/AmazonPages/Amazon_ValidateSearchFieldItem_OR/Page_Amazon.com. Spend less. Smile more/select_All Departments        Arts  Crafts _135c92""), category, true)",Edge Chromium 121,,,01-02-2024 23:06:26,01-02-2024 23:06:31,5.504s,PASSED
"setText(findTestObject(""Object Repository/AmazonPages/Amazon_ValidateSearchFieldItem_OR/Page_Amazon.com. Spend less. Smile more/input_field-keywords""), item)",Edge Chromium 121,,,01-02-2024 23:06:31,01-02-2024 23:06:34,3.384s,PASSED
"click(findTestObject(""Object Repository/AmazonPages/Amazon_ValidateSearchFieldItem_OR/Page_Amazon.com. Spend less. Smile more/inputnav-search-submit-button""))",Edge Chromium 121,,,01-02-2024 23:06:34,01-02-2024 23:06:44,9.849s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/AmazonPages/Amazon_ValidateSearchFieldItem_OR/Page_Amazon.com  Da vinci code/span_Da vinci code""), 0)",Edge Chromium 121,,,01-02-2024 23:06:44,01-02-2024 23:06:48,3.254s,PASSED
,,,,,,,
Test Cases/Data_Driven_Testing/TC_Amazon_ValidateSearchFieldItem_003,Edge Chromium 121,,,01-02-2024 23:06:48,01-02-2024 23:07:35,47.705s,PASSED
Start listener action : sampleBeforeTestCase,Edge Chromium 121,,,01-02-2024 23:06:48,01-02-2024 23:06:50,2.402s,PASSED
"selectOptionByLabel(findTestObject(""Object Repository/AmazonPages/Amazon_ValidateSearchFieldItem_OR/Page_Amazon.com. Spend less. Smile more/select_All Departments        Arts  Crafts _135c92""), category, true)",Edge Chromium 121,,,01-02-2024 23:06:50,01-02-2024 23:07:04,13.539s,PASSED
"setText(findTestObject(""Object Repository/AmazonPages/Amazon_ValidateSearchFieldItem_OR/Page_Amazon.com. Spend less. Smile more/input_field-keywords""), item)",Edge Chromium 121,,,01-02-2024 23:07:04,01-02-2024 23:07:09,4.871s,PASSED
"click(findTestObject(""Object Repository/AmazonPages/Amazon_ValidateSearchFieldItem_OR/Page_Amazon.com. Spend less. Smile more/inputnav-search-submit-button""))",Edge Chromium 121,,,01-02-2024 23:07:09,01-02-2024 23:07:31,22.978s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/AmazonPages/Amazon_ValidateSearchFieldItem_OR/Page_Amazon.com  Da vinci code/span_Da vinci code""), 0)",Edge Chromium 121,,,01-02-2024 23:07:31,01-02-2024 23:07:35,3.865s,PASSED
